POLR1F,NUCKS,NUCKSdelK
3.741658967,2.173474583,0.883515187
3.737298963,2.05364829,0.817064128
3.783120506,2.318101994,1.190971324
3.693031213,2.031472745,1.210352974
4.348208494,2.372370097,1.189867743
4.33616413,2.697427775,1.337609712
4.36907238,2.607485968,1.224630559
4.369696902,1.747873696,1.137723518
4.296129633,1.956268724,1.053299536
4.291430844,2.135876864,0.869553222
4.272027895,2.162046761,0.891073061
4.320591958,1.805447471,0.786301795
4.273418201,2.393306016,0.967840946
4.316911736,2.259839537,1.065025089
4.302597902,2.896869942,0.947148794
3.941536511,2.741778864,0.650009484
3.942995589,1.469921835,0.788026141
3.915553771,1.475982232,0.892176642
3.953618049,1.626114803,0.517510734
3.482579352,1.477635068,0.891693825
3.480609133,,0.863759419
4.506961754,,0.733536806
4.41093026,,0.656837894
4.309710562,,
4.316641707,,
4.358146093,,
4.306254011,,
4.280833799,,
4.337038192,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
